 number of kpoints:        1936
 number of conduction states           2
 number of valence states           2
 # kx ky kz nocp nc nv  energy  xx  yy  zz  xy  xz  yz
  0.729457  1.263457  0.000000        14        16        14  2.432232  0.014857  0.012028  0.000000 -0.002470  0.000000  0.000000
  0.638275  1.210813  0.000000        14        15        13  2.453116  0.000268  0.000270  0.000000 -0.000001  0.000000  0.000000
  1.367733  2.263694  0.000000        14        15        13  2.453125  0.000261  0.000262  0.000000 -0.000001  0.000000  0.000000
  0.729457  1.158169  0.000000        14        15        13  2.453167  0.000280  0.000279  0.000000 -0.000000  0.000000  0.000000
  1.276551  2.316338  0.000000        14        15        13  2.453176  0.000248  0.000248  0.000000 -0.000000  0.000000  0.000000
  0.638275  1.105525  0.000000        14        15        13  2.453300  0.000280  0.000281  0.000000  0.000001  0.000000  0.000000
  1.367733  2.368982  0.000000        14        15        13  2.453313  0.000278  0.000279  0.000000  0.000001  0.000000  0.000000
  0.638275  1.210813  0.000000        14        16        13  2.466621  3.578470  3.589021  0.000000 -0.013686  0.000000  0.000000
  1.367733  2.263694  0.000000        14        16        13  2.466637  3.578653  3.589085  0.000000 -0.013659  0.000000  0.000000
  0.729457  1.158169  0.000000        14        16        13  2.466658  3.597048  3.570768  0.000000 -0.003336  0.000000  0.000000
  1.276551  2.316338  0.000000        14        16        13  2.466686  3.597027  3.570866  0.000000 -0.003296  0.000000  0.000000
  0.638275  1.105525  0.000000        14        16        13  2.466812  3.568900  3.587687  0.000000  0.013846  0.000000  0.000000
  1.367733  2.368982  0.000000        14        16        13  2.466829  3.569020  3.587670  0.000000  0.013843  0.000000  0.000000
  1.230959  2.395304  0.000000        14        15        14  2.481438  0.260946  0.266297  0.000000  0.052672  0.000000  0.000000
  0.775048  1.079203  0.000000        14        15        14  2.481461  0.273180  0.278768  0.000000  0.055133  0.000000  0.000000
  1.322142  2.447948  0.000000        14        15        14  2.481498  0.335682  0.245968  0.000000  0.027165  0.000000  0.000000
  1.458915  2.263694  0.000000        14        15        14  2.481509  0.248949  0.349919  0.000000  0.032544  0.000000  0.000000
  0.683866  1.026559  0.000000        14        15        14  2.481528  0.364915  0.267366  0.000000  0.029532  0.000000  0.000000
  0.547093  1.210813  0.000000        14        15        14  2.481531  0.231750  0.325759  0.000000  0.030299  0.000000  0.000000
  1.322142  2.184728  0.000000        14        15        14  2.481592  0.343748  0.245760  0.000000 -0.032566  0.000000  0.000000
  0.683866  1.289779  0.000000        14        15        14  2.481608  0.355792  0.254338  0.000000 -0.033694  0.000000  0.000000
  1.230959  2.237372  0.000000        14        15        14  2.481673  0.297334  0.290539  0.000000 -0.058612  0.000000  0.000000
  1.458915  2.368982  0.000000        14        15        14  2.481684  0.274894  0.378718  0.000000 -0.028543  0.000000  0.000000
  0.775048  1.237135  0.000000        14        15        14  2.481689  0.295761  0.288969  0.000000 -0.058306  0.000000  0.000000
  0.547093  1.105525  0.000000        14        15        14  2.481705  0.252019  0.347186  0.000000 -0.026169  0.000000  0.000000
  1.230959  2.395304  0.000000        14        16        14  2.481837  2.890757  2.949404  0.000000  0.583632  0.000000  0.000000
  0.775048  1.079203  0.000000        14        16        14  2.481873  2.878338  2.936963  0.000000  0.581153  0.000000  0.000000
  1.322142  2.447948  0.000000        14        16        14  2.481895  3.371344  2.469898  0.000000  0.272858  0.000000  0.000000
  1.458915  2.263694  0.000000        14        16        14  2.481916  2.396757  3.370050  0.000000  0.313466  0.000000  0.000000
  0.683866  1.026559  0.000000        14        16        14  2.481929  3.341947  2.448417  0.000000  0.270476  0.000000  0.000000
  0.547093  1.210813  0.000000        14        16        14  2.481949  2.414019  3.394070  0.000000  0.315731  0.000000  0.000000
  1.322142  2.184728  0.000000        14        16        14  2.482001  3.454635  2.469235  0.000000 -0.327475  0.000000  0.000000
  0.683866  1.289779  0.000000        14        16        14  2.482026  3.442451  2.460605  0.000000 -0.326315  0.000000  0.000000
  1.230959  2.237372  0.000000        14        16        14  2.482091  2.998034  2.928966  0.000000 -0.591311  0.000000  0.000000
  1.458915  2.368982  0.000000        14        16        14  2.482102  2.423976  3.340441  0.000000 -0.251634  0.000000  0.000000
